# Escape-hatch registry — OPS-03.
#
# Every environment variable that a SHIPPED binary reads and that can weaken,
# fake or bypass a check must have a row here. `scripts/release_identity_gate.sh`
# scans the production sources for hatch-shaped names and fails when it finds
# one that is not registered. The registry is therefore not documentation: it is
# the thing that makes adding a silent hatch a build failure rather than a
# private decision.
#
# The reason this needs a list at all: the danger is not any one override, it is
# that nobody can answer "what can an environment variable do to an installed
# client?" without reading the whole tree. That question has to be answerable in
# one file, or the answer drifts.
#
# Columns (TAB separated):
#   1 NAME          the environment variable
#   2 SURFACE       shipped-binary | build-only | frozen | test-tool
#   3 ENFORCEMENT   compiled-out | loud | silent | config
#   4 LOCATION      file:line of the read (or of the constant that names it)
#   5 NOTE          what it does and why the enforcement is what it is
#
# ENFORCEMENT meanings, and what the gate does with each:
#   compiled-out  a release build cannot honour it at all. The strongest answer.
#                 The gate requires a test that asserts this in BOTH profiles.
#   loud          honoured, but prints an unmissable line first. Acceptable for
#                 hatches whose effect the operator has to see anyway.
#   silent        honoured with no trace. NOT acceptable for anything that
#                 changes a security or hardware verdict; each row here is an
#                 open defect with a named owner, not a decision.
#   config        ordinary configuration that happens to match the name shape;
#                 it cannot weaken a check. Registered so the scan stays quiet
#                 without anyone loosening the pattern.
#
# ⚠ `frozen` rows are the ds4/ds4x code that is blocked from every build
# (CLAUDE.md hard constraint 1). They are registered so the scanner has a
# truthful answer for them, not because they can be reached.
#
NAME	SURFACE	ENFORCEMENT	LOCATION	NOTE
IDLETOKEN_FORCE_BACKEND	shipped-binary	loud	src/coord/coord_main.c:8071	Selects the frozen ds4 backend instead of llama.cpp. Announced as loud in --help.
IDLETOKEN_FORCE_LAYERS	shipped-binary	loud	src/coord/coord_main.c:623	Pins each stage's layer range instead of using the planner. Prints "override active".
IDLETOKEN_NO_CACHE_REPORT	shipped-binary	loud	src/tools/platform_agent.c:388	Stops the platform agent reporting cached prompt-prefix Bloom state. Announces itself on stderr and names PRIV-06; costs this machine prefix-affinity routing and cannot weaken a security verdict.
IDLETOKEN_ALLOW_MACOS_NODE	shipped-binary	config	include/idletoken_proto.h:153	Retired hatch from the macOS seal (lifted 2026-08-14). Accepted and ignored; kept so old scripts do not fail.
IDLETOKEN_NO_CHUNKED_PREFILL	shipped-binary	config	src/coord/coord_main.c	Performance switch for chunked prefill. No security effect.
IDLETOKEN_FULL_LOGITS	shipped-binary	config	src/coord/coord_main.c	Returns full logits for numerical comparison work. Costly, not weakening.
IDLETOKEN_MMAP_DEBUG	shipped-binary	config	src/platform/win/win_compat.c:114	Extra tracing for the Windows mmap shim. Diagnostic only.
IDLETOKEN_DS4X_NO_DP4A	frozen	config	include/idletoken_ds4x_cuda.h	ds4x kernel selection. ds4x is stubbed out of every binary (CLAUDE.md hard constraint 1); unreachable.
IDLETOKEN_DS4X_NO_MMA	frozen	config	include/idletoken_ds4x_cuda.h	As above.
IDLETOKEN_DS4X_NO_MMQ	frozen	config	include/idletoken_ds4x_cuda.h	As above.
IDLETOKEN_DS4X_NO_TC	frozen	config	include/idletoken_ds4x_cuda.h	As above.
IDLETOKEN_DS4X_NO_FUSE	frozen	config	include/idletoken_ds4x_cuda.h	As above.
IDLETOKEN_DS4X_NO_GPU_ATTN	frozen	config	include/idletoken_ds4x_cuda.h	As above.
IDLETOKEN_DS4X_PROF	frozen	config	src/tools/ds4x_cuda_test.c	ds4x profiling in a test tool that is not built by default.
IDLETOKEN_UTF8_TEST_DIR	shipped-binary	config	src/coord/coord_main.c:2031	Names a directory with non-ASCII characters for the Windows UTF-8 path self-test (getenv, narrow CRT filesystem calls, AF_UNIX sun_path). Read ONLY inside windows_utf8_path_selftest(), which only --selftest reaches, and only on _WIN32; unset or empty returns immediately, so an ordinary --selftest stays portable. It selects a directory to probe, never a policy: no serving path reads it and it cannot relax a check.
